Block/Room,bedsTaken,block,room,bedsAvailable,roomLocation,maxOccupancy,size,code,vacancyStatus,bedsRemaining,price
Block 5 Room 31,0,5,31,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,3,4000
Block 5 Room 32,3,5,32,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,FULLY BOOKED,0,4000
Block 5 Room 33,0,5,33,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,3,4000
Block 5 Room 34,1,5,34,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,2,4000
Block 5 Room 35,0,5,35,4,Second Floor,4-in-a-room,Large,Second Floor 4-in-a-room Large,VACANCY,4,3000
Block 5 Room 36,1,5,36,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,VACANCY,1,6200
Block 6 Room 1,3,6,1,3,Terrace,3-in-a-room,Large,Terrace 3-in-a-room Large,FULLY BOOKED,0,4200
Block 6 Room 2,1,6,2,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,VACANCY,3,3000
Block 6 Room 3,3,6,3,3,Ground Floor,3-in-a-room,Large,Ground Floor 3-in-a-room Large,FULLY BOOKED,0,4000
Block 6 Room 4,2,6,4,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 5,0,6,5,3,Ground Floor,3-in-a-room,Large,Ground Floor 3-in-a-room Large,VACANCY,3,4000
Block 6 Room 6,1,6,6,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,VACANCY,1,6000
Block 6 Room 7,0,6,7,2,Ground Floor,2-in-a-room,Large,Ground Floor 2-in-a-room Large,VACANCY,2,6000
Block 6 Room 8,0,6,8,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,VACANCY,4,3000
Block 6 Room 9,0,6,9,3,Ground Floor,3-in-a-room,Large,Ground Floor 3-in-a-room Large,VACANCY,3,4000
Block 6 Room 10,0,6,10,4,Ground Floor,4-in-a-room,Large,Ground Floor 4-in-a-room Large,VACANCY,4,3000
Block 6 Room 11,0,6,11,3,Ground Floor,3-in-a-room,Large,Ground Floor 3-in-a-room Large,VACANCY,3,4000
Block 6 Room 12,3,6,12,4,Terrace,4-in-a-room,Large,Terrace 4-in-a-room Large,VACANCY,1,3100
Block 6 Room 13,1,6,13,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,VACANCY,1,6200
Block 6 Room 14,1,6,14,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,VACANCY,1,6000
Block 6 Room 15,0,6,15,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,VACANCY,2,6000
Block 6 Room 16,0,6,16,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,VACANCY,2,6000
Block 6 Room 17,1,6,17,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,VACANCY,1,6000
Block 6 Room 18,2,6,18,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 19,2,6,19,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 20,2,6,20,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 21,4,6,21,4,First Floor,4-in-a-room,Large,First Floor 4-in-a-room Large,FULLY BOOKED,0,4000
Block 6 Room 22,2,6,22,4,First Floor,4-in-a-room,Large,First Floor 4-in-a-room Large,VACANCY,2,4000
Block 6 Room 23,2,6,23,2,First Floor,2-in-a-room,Large,First Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 24,2,6,24,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,FULLY BOOKED,0,6200
Block 6 Room 25,0,6,25,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,VACANCY,2,6200
Block 6 Room 26,0,6,26,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,3,4000
Block 6 Room 27,1,6,27,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,VACANCY,1,6000
Block 6 Room 28,1,6,28,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,2,4000
Block 6 Room 29,2,6,29,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 30,0,6,30,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,VACANCY,2,6000
Block 6 Room 31,2,6,31,2,Second Floor,2-in-a-room,Large,Second Floor 2-in-a-room Large,FULLY BOOKED,0,6000
Block 6 Room 32,1,6,32,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,2,4000
Block 6 Room 33,3,6,33,4,Second Floor,4-in-a-room,Large,Second Floor 4-in-a-room Large,VACANCY,1,3000
Block 6 Room 34,2,6,34,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,1,4000
Block 6 Room 35,0,6,35,3,Second Floor,3-in-a-room,Large,Second Floor 3-in-a-room Large,VACANCY,3,4000
Block 6 Room 36,0,6,36,2,Terrace,2-in-a-room,Large,Terrace 2-in-a-room Large,VACANCY,2,6200
